time_seconds,value,status_bits,status
1,false,0,{ok}
2,false,0,{ok}
3,false,0,{ok}
4,false,0,{ok}
5,false,0,{ok}
6,false,0,{ok}
7,false,0,{ok}
8,false,0,{ok}
9,false,0,{ok}
10,false,0,{ok}
11,true,0,{ok}
12,true,0,{ok}
13,true,0,{ok}
14,true,0,{ok}
15,true,0,{ok}
16,true,0,{ok}
17,true,0,{ok}
18,true,0,{ok}
19,true,0,{ok}
20,true,0,{ok}
21,true,0,{ok}
22,true,0,{ok}
23,true,0,{ok}
24,true,0,{ok}
25,true,0,{ok}
26,false,0,{ok}
27,false,0,{ok}
28,false,0,{ok}
29,false,0,{ok}
30,false,0,{ok}
