time_seconds,value,status_bits,status
1,10.0,0,{ok}
2,10.0,0,{ok}
3,10.0,0,{ok}
4,10.0,0,{ok}
5,10.0,0,{ok}
6,10.0,0,{ok}
7,10.0,0,{ok}
8,10.0,0,{ok}
9,10.0,0,{ok}
10,10.0,0,{ok}
11,10.0,0,{ok}
12,10.0,0,{ok}
13,10.0,0,{ok}
14,10.0,0,{ok}
15,10.0,0,{ok}
16,10.0,0,{ok}
17,10.0,0,{ok}
18,10.0,0,{ok}
19,10.0,0,{ok}
20,10.0,0,{ok}
21,21.666666666666668,0,{ok}
22,21.666666666666668,0,{ok}
23,21.666666666666668,0,{ok}
24,21.666666666666668,0,{ok}
25,21.666666666666668,0,{ok}
26,21.666666666666668,0,{ok}
27,21.666666666666668,0,{ok}
28,21.666666666666668,0,{ok}
29,21.666666666666668,0,{ok}
30,21.666666666666668,0,{ok}
31,23.333333333333332,0,{ok}
32,23.333333333333332,0,{ok}
33,23.333333333333332,0,{ok}
34,23.333333333333332,0,{ok}
35,23.333333333333332,0,{ok}
36,23.333333333333332,0,{ok}
37,23.333333333333332,0,{ok}
38,23.333333333333332,0,{ok}
39,23.333333333333332,0,{ok}
40,23.333333333333332,0,{ok}
41,25.0,0,{ok}
42,25.0,0,{ok}
43,25.0,0,{ok}
44,25.0,0,{ok}
45,25.0,0,{ok}
46,25.0,0,{ok}
47,25.0,0,{ok}
48,25.0,0,{ok}
49,25.0,0,{ok}
50,25.0,0,{ok}
51,100.0,0,{ok}
52,100.0,0,{ok}
53,100.0,0,{ok}
54,100.0,0,{ok}
55,100.0,0,{ok}
56,100.0,0,{ok}
57,100.0,0,{ok}
58,100.0,0,{ok}
59,100.0,0,{ok}
60,100.0,0,{ok}
61,100.0,0,{ok}
62,100.0,0,{ok}
63,100.0,0,{ok}
64,100.0,0,{ok}
65,100.0,0,{ok}
66,100.0,0,{ok}
67,100.0,0,{ok}
68,100.0,0,{ok}
69,100.0,0,{ok}
70,100.0,0,{ok}
71,100.0,0,{ok}
72,100.0,0,{ok}
73,100.0,0,{ok}
74,100.0,0,{ok}
75,100.0,0,{ok}
76,100.0,0,{ok}
77,100.0,0,{ok}
78,100.0,0,{ok}
79,100.0,0,{ok}
80,100.0,0,{ok}
81,15.0,0,{ok}
82,15.0,0,{ok}
83,15.0,0,{ok}
84,15.0,0,{ok}
85,15.0,0,{ok}
86,15.0,0,{ok}
87,15.0,0,{ok}
88,15.0,0,{ok}
89,15.0,0,{ok}
90,15.0,0,{ok}
91,15.0,0,{ok}
92,15.0,0,{ok}
93,15.0,0,{ok}
94,15.0,0,{ok}
95,15.0,0,{ok}
96,15.0,0,{ok}
97,15.0,0,{ok}
98,15.0,0,{ok}
99,15.0,0,{ok}
100,15.0,0,{ok}
101,15.0,0,{ok}
102,15.0,0,{ok}
103,15.0,0,{ok}
104,15.0,0,{ok}
105,15.0,0,{ok}
106,15.0,0,{ok}
107,15.0,0,{ok}
108,15.0,0,{ok}
109,15.0,0,{ok}
110,15.0,0,{ok}
111,15.0,0,{ok}
112,15.0,0,{ok}
113,15.0,0,{ok}
114,15.0,0,{ok}
115,15.0,0,{ok}
116,15.0,0,{ok}
117,15.0,0,{ok}
118,15.0,0,{ok}
119,15.0,0,{ok}
120,15.0,0,{ok}
121,-1.0,0,{ok}
122,-1.0,0,{ok}
123,-1.0,0,{ok}
124,-1.0,0,{ok}
125,-1.0,0,{ok}
126,-1.0,0,{ok}
127,-1.0,0,{ok}
128,-1.0,0,{ok}
129,-1.0,0,{ok}
130,-1.0,0,{ok}
