time_seconds,value,status_bits,status
1,6.0,0,{ok}
2,6.0,0,{ok}
3,6.0,0,{ok}
4,6.0,0,{ok}
5,6.0,0,{ok}
6,6.0,0,{ok}
7,6.0,0,{ok}
8,6.0,0,{ok}
9,6.0,0,{ok}
10,6.0,0,{ok}
11,10.0,0,{ok}
12,10.0,0,{ok}
13,10.0,0,{ok}
14,10.0,0,{ok}
15,10.0,0,{ok}
16,10.0,0,{ok}
17,10.0,0,{ok}
18,10.0,0,{ok}
19,10.0,0,{ok}
20,10.0,0,{ok}
21,99.0,0,{ok}
22,99.0,0,{ok}
23,99.0,0,{ok}
24,99.0,0,{ok}
25,99.0,0,{ok}
26,99.0,0,{ok}
27,99.0,0,{ok}
28,99.0,0,{ok}
29,99.0,0,{ok}
30,99.0,0,{ok}
